OBJECTNUMMER;Adres;Postcode;STADSDEEL_CODE;GEBIED22_CODE;Gebouwnaam;Bruto_vloeroppervlak;Leegstand_bvo;Leegstand_perc;Huidige_functie;Toekomstige_functie;Transformatiefase;Transformatiewijze;Startbouw;Aantal_woningen;Website;COORDS;LNG;LAT;
1;"Binnen Bantammerstraat 15";"1011CH";"A";"DX02";"Tandwielenfabriek";1569;0;0;"Bedrijf";"Wonen";"4 - Gerealiseerd";"C - Verbouw andere functie";2014;12;"";"POINT(4.902381 52.37378)";"4,902381";"52,37378";
2;"Montelbaanstraat 6";"1011EG";"A";"DX02";"Walenburg";1513;0;0;"Wonen";"Wonen";"3 - In uitvoering";"C - Verbouw andere functie";2015;17;"";"POINT(4.903642 52.372599)";"4,903642";"52,372599";
780;"Leidsestraat 106 - 108";"";"A";"DX02";"";0;0;0;"Kantoor";"Wonen";"2 - In onderzoek - voorbereiding";"C - Verbouw andere functie";2017;13;"";"POINT(4.883235 52.364560)";"4,883235";"52,364560";
4;"Raamgracht 4,6,8 / Kloveniersburgwal 73";"1011KK";"A";"DX02";" ";4100;0;0;"Kantoor";"Wonen";"3 - In uitvoering";"C - Verbouw andere functie";2016;6;"";"POINT(4.898211 52.369749)";"4,898211";"52,369749";
6;"Muiderstraat 10";"";"A";"DX02";"";162;0;0;"Commercieel - Wonen";"Commercieel - Wonen";"3 - In uitvoering";"C - Verbouw andere functie";2015;3;"";"POINT(4.905993 52.367491)";"4,905993";"52,367491";
9;"Nieuwe Doelenstraat 16";"1012CP";"A";"DX01";"";2775;0;0;"Onderwijs";"Onderwijs";"2 - In onderzoek - voorbereiding";"X - Leegstand zonder transformatie";0;0;"";"POINT(4.895011 52.367924)";"4,895011";"52,367924";
14;"Warmoesstraat 48";"";"A";"DX01";"politiebureau";2000;0;0;"Kantoor";"Commercieel - Wonen";"2 - In onderzoek - voorbereiding";"C - Verbouw andere functie";0;0;"";"POINT(4.898231 52.375514)";"4,898231";"52,375514";
16;"Dam 3-7";"1012JS";"A";"DX01";"Royal dam center";4300;0;0;"Kantoor";"Kantoor";"3 - In uitvoering";"C - Verbouw andere functie";2016;16;"";"POINT(4.893973 52.373192)";"4,893973";"52,373192";
17;"Dam 31";"1012JS";"A";"DX01";"Industria";3600;0;0;"Kantoor";"Wonen - Commercieel";"2 - In onderzoek - voorbereiding";"C - Verbouw andere functie";0;0;"";"POINT(4.893306 52.372494)";"4,893306";"52,372494";
18;"Beursstraat 33";"1012JV";"A";"DX01";"";2000;0;0;"Kantoor";"Wonen - Commercieel";"2 - In onderzoek - voorbereiding";"C - Verbouw andere functie";0;0;"";"POINT(4.896351 52.374618)";"4,896351";"52,374618";
21;"Damrak 79";"1012LM";"A";"DX01";"";9281;0;0;"Kantoor";"Commercieel";"3 - In uitvoering";"C - Verbouw andere functie";2015;0;"";"POINT(4.894372 52.374332)";"4,894372";"52,374332";
